Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 06:00 PM,2016,06,24,18,156,4,65.7,69.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 07:00 PM,2016,06,24,19,156,4,65.7,94.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 08:00 PM,2016,06,24,20,155,4,63.6,87.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 09:00 PM,2016,06,24,21,153,4,60.3,81.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 10:00 PM,2016,06,24,22,153,4,58.5,77.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-24 11:00 PM,2016,06,24,23,152,4,57.7,73.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 12:00 AM,2016,06,25,00,152,4,57.5,85.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 01:00 AM,2016,06,25,01,152,4,57.5,85.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 02:00 AM,2016,06,25,02,152,4,56.7,76.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 03:00 AM,2016,06,25,03,151,4,55.5,74.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 04:00 AM,2016,06,25,04,149,3,54.9,69.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 05:00 AM,2016,06,25,05,147,3,54.1,69.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 06:00 AM,2016,06,25,06,143,3,52.4,75.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 07:00 AM,2016,06,25,07,138,3,50.4,44.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 08:00 AM,2016,06,25,08,131,3,47.5,27.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 09:00 AM,2016,06,25,09,124,3,44.9,35.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 10:00 AM,2016,06,25,10,119,3,43.0,24.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 11:00 AM,2016,06,25,11,114,3,40.8,17.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 12:00 PM,2016,06,25,12,109,3,38.6,21.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 01:00 PM,2016,06,25,13,101,3,35.6,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 02:00 PM,2016,06,25,14,94,2,32.6,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 03:00 PM,2016,06,25,15,89,2,30.0,15.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 04:00 PM,2016,06,25,16,84,2,27.7,16.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 05:00 PM,2016,06,25,17,79,2,25.6,14.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-25 06:00 PM,2016,06,25,18,76,2,24.0,21.0,UG/M3,1 Hr,Valid
